Time	Day	Emotiscore	Hashscore	Swnscore	Totalscore	Volume
Mon Jan 13	Mon	0.3	-0.5	24.125	40.0636838024	736.0
Tue Jan 14	Tue	0.7	1.5	-45.375	16.3513628736	4350.0
Wed Jan 15	Wed	0.0	2.375	118.375	185.678695117	1204.0
Thu Jan 16	Thu	0.0	2.875	237.0	342.997289272	2080.0
Fri Jan 17	Fri	0.5	3.5	309.75	461.663207238	3012.0
Mon Jan 20	Mon	1.3	4.75	344.75	530.080385631	3460.0
Tue Jan 21	Tue	1.3	5.5	426.875	678.42051449	4957.0
Wed Jan 22	Wed	1.3	4.625	445.375	701.724740262	5604.0
Thu Jan 23	Thu	1.3	3.75	474.375	744.848076358	5797.0
Fri Jan 24	Fri	1.0	5.625	456.375	722.659939105	6321.0
Mon Jan 27	Mon	1.3	7.0	477.875	754.890233878	6998.0
Tue Jan 28	Tue	1.3	6.125	510.125	808.263668653	8077.0
Wed Jan 29	Wed	0.3	3.0	28.5	48.5489736678	647.0
Thu Jan 30	Thu	0.3	1.625	5.75	-2.40596461118	516.0
Fri Jan 31	Fri	3.3	0.5	19.5	31.7188766192	703.0
Mon Feb 03	Mon	0.0	2.875	12.375	15.8409088837	282.0
Tue Feb 04	Tue	-1.0	-0.125	-11.0	-25.2516514019	744.0
Wed Feb 05	Wed	3.9	-0.375	14.0	-8.8982146357	2183.0
Thu Feb 06	Thu	0.3	-2.5	54.375	81.8928297625	512.0
Fri Feb 07	Fri	-2.0	0.375	145.125	241.957314704	1033.0
Mon Feb 10	Mon	3.0	11.5	178.0	249.976335539	1393.0
Tue Feb 11	Tue	2.7	6.5	152.25	264.835263773	996.0
Wed Feb 12	Wed	0.3	-1.125	43.375	87.2129784792	667.0
Thu Feb 13	Thu	0.3	2.125	15.375	30.3940556888	201.0
Fri Feb 14	Fri	0.7	7.5	120.099	212.229668243	1402.0
Mon Feb 17	Mon	0.0	0.75	4.5	9.33439389269	94.0
Tue Feb 18	Tue	0.3	2.5	20.888	40.9611224495	1022.0
Wed Feb 19	Wed	0.3	1.875	27.25	50.0866145696	843.0
Thu Feb 20	Thu	0.6	3.625	22.125	47.8195077408	881.0
Fri Feb 21	Fri	0.9	3.875	33.0	65.6140092623	1579.0
Mon Feb 24	Mon	0.3	0.5	-0.25	4.65365637356	495.0
Tue Feb 25	Tue	0.0	0.125	5.5	9.859879374	199.0
Wed Feb 26	Wed	0.6	4.25	48.125	64.9205973989	369.0
Thu Feb 27	Thu	0.6	5.75	91.125	137.628263559	956.0
Fri Feb 28	Fri	-1.7	1.0	145.25	248.734736977	1404.0
Mon Mar 03	Mon	0.3	-0.5	12.75	18.1859661985	193.0
