Time	Day	Emotiscore	Hashscore	Swnscore	Totalscore	Volume
Mon Jan 13	Mon	0.3	-0.25	18.375	23.3015244326	90.0
Tue Jan 14	Tue	27.1	14.25	1123.742	1785.39637279	10231.0
Wed Jan 15	Wed	15.6	5.875	514.438	827.50599869	6028.0
Thu Jan 16	Thu	-14.8	59.25	3694.438	5811.17141485	41633.0
Fri Jan 17	Fri	169.0	115.276	8202.099	12993.2214699	87481.0
Mon Jan 20	Mon	184.5	127.526	9191.763	14544.3761471	97806.0
Tue Jan 21	Tue	227.9	140.901	10906.505	17256.314064	114892.0
Wed Jan 22	Wed	291.3	156.026	12718.079	19999.8282348	132585.0
Thu Jan 23	Thu	279.1	163.026	13306.092	20884.2591919	139378.0
Fri Jan 24	Fri	363.6	194.276	15302.761	24117.6628754	160067.0
Mon Jan 27	Mon	395.2	207.901	16820.779	26526.5082763	178230.0
Tue Jan 28	Tue	425.7	218.526	18519.461	29166.0952221	195774.0
Wed Jan 29	Wed	470.8	240.664	20405.953	32107.2543293	215471.0
Thu Jan 30	Thu	533.8	256.914	22401.872	35215.9881915	235842.0
Fri Jan 31	Fri	1638.1	864.799	61349.158	96952.5706775	636973.0
Mon Feb 03	Mon	1547.9	888.187	62796.387	99057.6145852	654893.0
Tue Feb 04	Tue	1514.9	914.562	64228.305	101356.696367	673946.0
Wed Feb 05	Wed	1524.7	947.562	65948.672	104064.108237	693507.0
Thu Feb 06	Thu	44.0	22.763	1624.453	2618.28290746	18123.0
Fri Feb 07	Fri	203.5	60.263	6226.64	9945.06748041	66422.0
Mon Feb 10	Mon	197.8	56.138	5646.687	9015.08663783	59439.0
Tue Feb 11	Tue	739.8	304.953	28443.472	44790.3525909	299071.0
Wed Feb 12	Wed	845.5	319.953	30699.922	48358.0378632	321480.0
Thu Feb 13	Thu	894.7	343.354	32453.594	51112.369656	340676.0
Fri Feb 14	Fri	1043.8	431.057	38308.729	60293.105896	400243.0
Mon Feb 17	Mon	1076.2	445.096	40130.587	63246.238547	419242.0
Tue Feb 18	Tue	1122.4	468.109	41810.778	65927.3091496	437200.0
Wed Feb 19	Wed	1171.8	495.484	43590.337	68744.9969261	455710.0
Thu Feb 20	Thu	1203.9	525.234	45467.688	71666.5898779	475091.0
Fri Feb 21	Fri	1392.6	640.26	52544.782	82790.0027406	547569.0
Mon Feb 24	Mon	1436.0	660.523	54186.634	85433.7798391	564524.0
Tue Feb 25	Tue	1462.9	733.523	56114.385	88580.1323499	582632.0
Wed Feb 26	Wed	1503.8	801.036	57918.416	91473.3378391	601146.0
Thu Feb 27	Thu	1556.1	822.424	59583.248	94136.6536036	617638.0
Fri Feb 28	Fri	3.3	3.263	602.039	914.197987617	6124.0
Mon Mar 03	Mon	36.9	11.651	1689.846	2604.92308421	18820.0
