Time	Day	Emotiscore	Hashscore	Swnscore	Totalscore	Volume
Mon Jan 13	Mon	0.3	-0.125	0.25	1.02293343496	90.0
Tue Jan 14	Tue	20.1	18.375	515.776	851.406736137	10458.0
Wed Jan 15	Wed	13.8	8.75	201.375	338.489656231	4626.0
Thu Jan 16	Thu	8.7	9.875	406.013	672.42428382	6654.0
Fri Jan 17	Fri	87.0	70.125	1804.776	2672.29939198	42164.0
Mon Jan 20	Mon	17.0	16.125	269.125	446.876550696	10922.0
Tue Jan 21	Tue	6.2	9.5	292.625	393.247550814	5694.0
Wed Jan 22	Wed	12.3	-0.375	142.875	181.822474707	5891.0
Thu Jan 23	Thu	28.4	15.125	382.75	521.285968721	13892.0
Fri Jan 24	Fri	29.9	3.5	543.25	751.058800261	12806.0
Mon Jan 27	Mon	8.5	0.875	260.125	380.237064612	5112.0
Tue Jan 28	Tue	14.4	2.375	281.263	413.040945987	7514.0
Wed Jan 29	Wed	11.1	12.0	247.375	388.245316183	4769.0
Thu Jan 30	Thu	6.0	5.75	250.875	369.852470596	4635.0
Fri Jan 31	Fri	60.8	66.5	1521.109	2447.44671186	26572.0
Mon Feb 03	Mon	30.1	15.0	1123.991	1572.34640828	12220.0
Tue Feb 04	Tue	10.8	-12.875	218.122	384.816623115	12129.0
Wed Feb 05	Wed	56.5	58.875	3273.125	4984.11290231	28839.0
Thu Feb 06	Thu	118.5	116.5	6139.353	9024.79115982	63722.0
Fri Feb 07	Fri	104.5	33.138	3566.445	4752.83134388	60033.0
Mon Feb 10	Mon	95.1	31.388	3294.695	4411.7205345	55138.0
Tue Feb 11	Tue	31.7	16.875	627.789	932.789983869	12072.0
Wed Feb 12	Wed	16.7	10.125	30.138	205.795715147	9655.0
Thu Feb 13	Thu	13.7	8.125	199.5	352.170552946	7445.0
Fri Feb 14	Fri	6.2	1.25	131.5	197.732566427	3899.0
Mon Feb 17	Mon	3.1	2.125	201.103	292.513010103	5141.0
Tue Feb 18	Tue	37.5	37.5	1659.103	2443.95488802	28016.0
Wed Feb 19	Wed	15.3	8.0	273.125	376.872891593	5932.0
Thu Feb 20	Thu	19.0	14.625	481.875	703.916159403	6116.0
Fri Feb 21	Fri	5.7	1.5	133.375	145.52914901	3896.0
Mon Feb 24	Mon	15.5	6.75	436.5	656.494931246	8408.0
Tue Feb 25	Tue	10.1	10.375	376.625	569.875413009	6880.0
Wed Feb 26	Wed	9.9	7.875	183.25	242.913463447	5144.0
Thu Feb 27	Thu	16.6	12.625	135.103	260.306612574	6210.0
Fri Feb 28	Fri	6.0	11.625	167.625	277.704196253	5934.0
Mon Mar 03	Mon	27.1	67.875	1801.539	2915.74875887	27230.0
